Passport,Destination,Requirement
AF,AL,e-visa
AF,DZ,visa required
AF,AD,visa required
AF,AO,visa on arrival
AF,AG,e-visa
AF,AR,visa required
AF,AM,visa required
AF,AU,e-visa
AF,AT,visa required
AF,AZ,covid ban
AF,BS,visa required
AF,BH,e-visa
AF,BD,covid ban
AF,BB,visa required
AF,BY,visa required
AF,BE,visa required
AF,BZ,visa required
AF,BJ,e-visa
AF,BT,visa required
AF,BO,visa on arrival
AF,BA,visa required
AF,BW,visa required
AF,BR,visa required
AF,BN,covid ban
AF,BG,visa required
AF,BF,visa required
AF,BI,visa on arrival
AF,KH,e-visa
AF,CM,covid ban
AF,CA,visa required
AF,CV,visa on arrival
AF,CF,visa required
AF,TD,visa required
AF,CL,visa required
AF,CN,visa required
AF,CO,e-visa
AF,KM,visa on arrival
AF,CG,visa required
AF,CD,e-visa
AF,CR,visa required
AF,CI,e-visa
AF,HR,visa required
AF,CU,visa required
AF,CY,visa required
AF,CZ,covid ban
AF,DK,visa required
AF,DJ,e-visa
AF,DM,21
AF,DO,visa required
AF,EC,visa required
AF,EG,visa required
AF,SV,visa required
AF,GQ,visa required
AF,ER,visa required
AF,EE,visa required
AF,SZ,visa required
AF,ET,e-visa
AF,FJ,visa required
AF,FI,visa required
AF,FR,visa required
AF,GA,e-visa
AF,GM,visa required
AF,GE,visa required
AF,DE,visa required
AF,GH,visa required
AF,GR,visa required
AF,GD,visa required
AF,GT,visa required
AF,GN,e-visa
AF,GW,visa on arrival
AF,GY,visa on arrival
AF,HT,90
AF,HN,visa required
AF,HK,visa required
AF,HU,covid ban
AF,IS,visa required
AF,IN,e-visa
AF,ID,covid ban
AF,IR,visa required
AF,IQ,visa required
AF,IE,visa required
AF,IL,visa required
AF,IT,visa required
AF,JM,visa required
AF,JP,covid ban
AF,JO,visa required
AF,KZ,covid ban
AF,KE,e-visa
AF,KI,visa required
AF,XK,visa required
AF,KW,visa required
AF,KG,e-visa
AF,LA,covid ban
AF,LV,visa required
AF,LB,visa required
AF,LS,e-visa
AF,LR,visa required
AF,LY,visa required
AF,LI,visa required
AF,LT,visa required
AF,LU,covid ban
AF,MO,covid ban
AF,MG,visa on arrival
AF,MW,e-visa
AF,MY,covid ban
AF,MV,visa on arrival
AF,ML,visa required
AF,MT,covid ban
AF,MH,covid ban
AF,MR,visa on arrival
AF,MU,visa required
AF,MX,visa required
AF,FM,covid ban
AF,MD,e-visa
AF,MC,visa required
AF,MN,visa required
AF,ME,visa required
AF,MA,visa required
AF,MZ,visa on arrival
AF,MM,covid ban
AF,NA,visa required
AF,NR,visa required
AF,NP,visa required
AF,NL,visa required
AF,NZ,covid ban
AF,NI,visa required
AF,NE,visa required
AF,NG,visa on arrival
AF,KP,visa required
AF,MK,visa required
AF,NO,visa required
AF,OM,e-visa
AF,PK,e-visa
AF,PW,visa on arrival
AF,PS,visa required
AF,PA,visa required
AF,PG,visa required
AF,PY,visa required
AF,PE,visa required
AF,PH,visa required
AF,PL,visa required
AF,PT,visa required
AF,QA,e-visa
AF,RO,visa required
AF,RU,covid ban
AF,RW,visa on arrival
AF,KN,e-visa
AF,LC,visa required
AF,WS,visa on arrival
AF,SM,visa required
AF,ST,e-visa
AF,SA,covid ban
AF,SN,visa on arrival
AF,RS,visa required
AF,SC,90
AF,SL,visa on arrival
AF,SG,covid ban
AF,SK,visa required
AF,SI,visa required
AF,SB,covid ban
AF,SO,visa on arrival
AF,ZA,visa required
AF,KR,covid ban
AF,SS,e-visa
AF,ES,visa required
AF,LK,visa required
AF,VC,30
AF,SD,visa required
AF,SR,e-visa
AF,SE,covid ban
AF,CH,visa required
AF,SY,visa required
AF,TW,covid ban
AF,TJ,e-visa
AF,TZ,e-visa
AF,TH,visa required
AF,TL,visa on arrival
AF,TG,visa on arrival
AF,TO,covid ban
AF,TT,visa required
AF,TN,visa required
AF,TR,visa required
AF,TM,visa required
AF,TV,visa on arrival
AF,UG,e-visa
AF,UA,visa required
AF,AE,e-visa
AF,GB,visa required
AF,US,visa required
AF,UY,visa required
AF,UZ,e-visa
AF,VU,covid ban
AF,VA,visa required
AF,VE,visa required
AF,VN,covid ban
AF,YE,visa required
AF,ZM,e-visa
AF,ZW,e-visa
AF,AF,-1
AL,AL,-1
AL,DZ,visa required
AL,AD,90
AL,AO,visa on arrival
AL,AG,180
AL,AR,visa required
AL,AM,180
AL,AU,e-visa
AL,AT,90
AL,AZ,e-visa
AL,BS,visa required
AL,BH,e-visa
AL,BD,covid ban
AL,BB,28
AL,BY,30
AL,BE,90
