Passport,Destination,Requirement
AFG,ALB,visa required
AFG,DZA,visa required
AFG,AND,covid ban
AFG,AGO,visa on arrival
AFG,ATG,e-visa
AFG,ARG,covid ban
AFG,ARM,visa required
AFG,AUS,e-visa
AFG,AUT,covid ban
AFG,AZE,covid ban
AFG,BHS,visa required
AFG,BHR,e-visa
AFG,BGD,covid ban
AFG,BRB,visa required
AFG,BLR,visa required
AFG,BEL,covid ban
AFG,BLZ,visa required
AFG,BEN,e-visa
AFG,BTN,visa required
AFG,BOL,visa on arrival
AFG,BIH,visa required
AFG,BWA,visa required
AFG,BRA,visa required
AFG,BRN,covid ban
AFG,BGR,covid ban
AFG,BFA,visa required
AFG,BDI,visa required
AFG,KHM,visa on arrival
AFG,CMR,covid ban
AFG,CAN,covid ban
AFG,CPV,visa on arrival
AFG,CAF,visa required
AFG,TCD,visa required
AFG,CHL,covid ban
AFG,CHN,visa required
AFG,COL,e-visa
AFG,COM,visa on arrival
AFG,COG,visa required
AFG,COD,visa required
AFG,CRI,visa required
AFG,CIV,e-visa
AFG,HRV,visa required
AFG,CUB,visa required
AFG,CYP,covid ban
AFG,CZE,covid ban
AFG,DNK,covid ban
AFG,DJI,e-visa
AFG,DMA,21
AFG,DOM,visa required
AFG,ECU,visa required
AFG,EGY,visa required
AFG,SLV,visa required
AFG,GNQ,visa required
AFG,ERI,visa required
AFG,EST,covid ban
AFG,SWZ,visa required
AFG,ETH,e-visa
AFG,FJI,covid ban
AFG,FIN,covid ban
AFG,FRA,covid ban
AFG,GAB,e-visa
AFG,GMB,visa required
AFG,GEO,covid ban
AFG,DEU,covid ban
AFG,GHA,visa required
AFG,GRC,covid ban
AFG,GRD,visa required
AFG,GTM,visa required
AFG,GIN,e-visa
AFG,GNB,visa on arrival
AFG,GUY,visa required
AFG,HTI,90
AFG,HND,visa required
AFG,HKG,covid ban
AFG,HUN,covid ban
AFG,ISL,covid ban
AFG,IND,visa required
AFG,IDN,covid ban
AFG,IRN,visa required
AFG,IRQ,visa required
AFG,IRL,visa required
AFG,ISR,covid ban
AFG,ITA,covid ban
AFG,JAM,visa required
AFG,JPN,covid ban
AFG,JOR,visa required
AFG,KAZ,covid ban
AFG,KEN,visa required
AFG,KIR,visa required
AFG,XKX,visa required
AFG,KWT,visa required
AFG,KGZ,e-visa
AFG,LAO,covid ban
AFG,LVA,covid ban
AFG,LBN,visa required
AFG,LSO,e-visa
AFG,LBR,visa required
AFG,LBY,visa required
AFG,LIE,covid ban
AFG,LTU,covid ban
AFG,LUX,covid ban
AFG,MAC,covid ban
AFG,MDG,visa on arrival
AFG,MWI,e-visa
AFG,MYS,covid ban
AFG,MDV,visa on arrival
AFG,MLI,visa required
AFG,MLT,covid ban
AFG,MHL,covid ban
AFG,MRT,visa on arrival
AFG,MUS,covid ban
AFG,MEX,visa required
AFG,FSM,30
AFG,MDA,e-visa
AFG,MCO,covid ban
AFG,MNG,covid ban
AFG,MNE,covid ban
AFG,MAR,visa required
AFG,MOZ,visa required
AFG,MMR,visa required
AFG,NAM,visa required
AFG,NRU,visa required
AFG,NPL,covid ban
AFG,NLD,covid ban
AFG,NZL,covid ban
AFG,NIC,visa required
AFG,NER,visa required
AFG,NGA,visa on arrival
AFG,PRK,visa required
AFG,MKD,visa required
AFG,NOR,covid ban
AFG,OMN,covid ban
AFG,PAK,visa required
AFG,PLW,visa on arrival
AFG,PSE,visa required
AFG,PAN,visa required
AFG,PNG,covid ban
AFG,PRY,visa required
AFG,PER,visa required
AFG,PHL,covid ban
AFG,POL,covid ban
AFG,PRT,covid ban
AFG,QAT,e-visa
AFG,ROU,covid ban
AFG,RUS,covid ban
AFG,RWA,visa on arrival
AFG,KNA,e-visa
AFG,LCA,visa required
AFG,WSM,visa on arrival
AFG,SMR,covid ban
AFG,STP,e-visa
AFG,SAU,visa required
AFG,SEN,visa on arrival
AFG,SRB,visa required
AFG,SYC,90
AFG,SLE,visa required
AFG,SGP,e-visa
AFG,SVK,visa required
AFG,SVN,visa required
AFG,SLB,covid ban
AFG,SOM,visa on arrival
AFG,ZAF,visa required
AFG,KOR,covid ban
AFG,SSD,e-visa
AFG,ESP,covid ban
AFG,LKA,covid ban
AFG,VCT,30
AFG,SDN,visa required
AFG,SUR,e-visa
AFG,SWE,covid ban
AFG,CHE,covid ban
AFG,SYR,visa required
AFG,TWN,covid ban
AFG,TJK,e-visa
AFG,TZA,e-visa
AFG,THA,covid ban
AFG,TLS,covid ban
AFG,TGO,visa on arrival
AFG,TON,visa required
AFG,TTO,visa required
AFG,TUN,visa required
AFG,TUR,visa required
AFG,TKM,covid ban
AFG,TUV,visa on arrival
AFG,UGA,visa on arrival
AFG,UKR,visa required
AFG,ARE,e-visa
AFG,GBR,visa required
AFG,USA,covid ban
AFG,URY,covid ban
AFG,UZB,e-visa
AFG,VUT,visa required
AFG,VAT,covid ban
AFG,VEN,visa required
AFG,VNM,covid ban
AFG,YEM,visa required
AFG,ZMB,e-visa
AFG,ZWE,e-visa
AFG,AFG,-1
ALB,ALB,-1
ALB,DZA,visa required
ALB,AND,covid ban
ALB,AGO,visa on arrival
ALB,ATG,180
ALB,ARG,covid ban
ALB,ARM,180
ALB,AUS,e-visa
ALB,AUT,covid ban
ALB,AZE,covid ban
ALB,BHS,visa required
ALB,BHR,e-visa
ALB,BGD,covid ban
ALB,BRB,28
ALB,BLR,30
ALB,BEL,covid ban
ALB,BLZ,visa required
ALB,BEN,e-visa
ALB,BTN,visa required
ALB,BOL,visa on arrival
ALB,BIH,90
ALB,BWA,visa required
ALB,BRA,90
ALB,BRN,covid ban
ALB,BGR,90
ALB,BFA,visa required
ALB,BDI,visa required
ALB,KHM,visa on arrival
ALB,CMR,covid ban
ALB,CAN,covid ban
ALB,CPV,visa on arrival
ALB,CAF,visa required
ALB,TCD,visa required
ALB,CHL,covid ban
ALB,CHN,visa required
ALB,COL,90
ALB,COM,visa on arrival
ALB,COG,visa required
ALB,COD,visa required
ALB,CRI,visa required
ALB,CIV,e-visa
ALB,HRV,90
ALB,CUB,visa required
ALB,CYP,covid ban
ALB,CZE,covid ban
ALB,DNK,covid ban
ALB,DJI,e-visa
ALB,DMA,21
ALB,DOM,visa required
ALB,ECU,90
ALB,EGY,visa on arrival
ALB,SLV,90
ALB,GNQ,visa required
ALB,ERI,visa required
ALB,EST,covid ban
