Passport,Destination,Value
AF,AF,-1
AF,AL,0
AF,DZ,0
AF,AD,0
AF,AO,0
AF,AG,0
AF,AR,0
AF,AM,0
AF,AU,0
AF,AT,0
AF,AZ,0
AF,BS,0
AF,BH,0
AF,BD,1
AF,BB,0
AF,BY,0
AF,BE,0
AF,BZ,0
AF,BJ,0
AF,BT,0
AF,BO,1
AF,BA,0
AF,BW,0
AF,BR,0
AF,BN,0
AF,BG,0
AF,BF,0
AF,BI,0
AF,KH,1
AF,CM,0
AF,CA,0
AF,CV,1
AF,CF,0
AF,TD,0
AF,CL,0
AF,CN,0
AF,CO,0
AF,KM,1
AF,CG,0
AF,CD,0
AF,CR,0
AF,CI,2
AF,HR,0
AF,CU,0
AF,CY,0
AF,CZ,0
AF,DK,0
AF,DJ,1
AF,DM,3
AF,DO,0
AF,EC,0
AF,EG,0
AF,SV,0
AF,GQ,0
AF,ER,0
AF,EE,0
AF,SZ,0
AF,ET,1
AF,FJ,0
AF,FI,0
AF,FR,0
AF,GA,1
AF,GM,0
AF,GE,0
AF,DE,0
AF,GH,0
AF,GR,0
AF,GD,0
AF,GT,0
AF,GN,0
AF,GW,1
AF,GY,0
AF,HT,3
AF,HN,0
AF,HK,0
AF,HU,0
AF,IS,0
AF,IN,0
AF,ID,0
AF,IR,0
AF,IQ,0
AF,IE,0
AF,IL,0
AF,IT,0
AF,JM,0
AF,JP,0
AF,JO,0
AF,KZ,0
AF,KE,0
AF,KI,0
AF,XK,0
AF,KW,0
AF,KG,0
AF,LA,0
AF,LV,0
AF,LB,0
AF,LS,1
AF,LR,0
AF,LY,0
AF,LI,0
AF,LT,0
AF,LU,0
AF,MO,1
AF,MG,1
AF,MW,0
AF,MY,0
AF,MV,1
AF,ML,0
AF,MT,0
AF,MH,0
AF,MR,1
AF,MU,0
AF,MX,0
AF,FM,3
AF,MD,0
AF,MC,0
AF,MN,0
AF,ME,0
AF,MA,0
AF,MZ,1
AF,MM,0
AF,NA,0
AF,NR,0
AF,NP,0
AF,NL,0
AF,NZ,0
AF,NI,0
AF,NE,0
AF,NG,0
AF,KP,0
AF,MK,0
AF,NO,0
AF,OM,0
AF,PK,0
AF,PW,1
AF,PS,0
AF,PA,0
AF,PG,0
AF,PY,0
AF,PE,0
AF,PH,0
AF,PL,0
AF,PT,0
AF,QA,1
AF,RO,0
AF,RU,0
AF,RW,1
AF,KN,0
AF,LC,0
AF,WS,1
AF,SM,0
AF,ST,0
AF,SA,0
AF,SN,0
AF,RS,0
AF,SC,1
AF,SL,0
AF,SG,0
AF,SK,0
AF,SI,0
AF,SB,0
AF,SO,1
AF,ZA,0
AF,KR,0
AF,SS,0
AF,ES,0
AF,LK,0
AF,VC,3
AF,SD,0
AF,SR,0
AF,SE,0
AF,CH,0
AF,SY,0
AF,TW,0
AF,TJ,0
AF,TZ,0
AF,TH,0
AF,TL,1
AF,TG,1
AF,TO,0
AF,TT,0
AF,TN,0
AF,TR,0
AF,TM,0
AF,TV,1
AF,UG,1
AF,UA,0
AF,AE,0
AF,GB,0
AF,US,0
AF,UY,0
AF,UZ,0
AF,VU,0
AF,VA,0
AF,VE,0
AF,VN,0
AF,YE,0
AF,ZM,0
AF,ZW,0
AL,AF,0
AL,AL,-1
AL,DZ,0
AL,AD,3
AL,AO,0
AL,AG,3
AL,AR,0
AL,AM,3
AL,AU,0
AL,AT,3
AL,AZ,1
AL,BS,0
AL,BH,0
AL,BD,1
AL,BB,3
AL,BY,3
AL,BE,3
AL,BZ,0
AL,BJ,0
AL,BT,0
AL,BO,1
AL,BA,3
AL,BW,0
AL,BR,3
AL,BN,0
AL,BG,3
AL,BF,0
AL,BI,0
AL,KH,1
AL,CM,0
AL,CA,0
AL,CV,1
AL,CF,0
AL,TD,0
AL,CL,3
AL,CN,0
AL,CO,3
AL,KM,1
AL,CG,0
AL,CD,0
AL,CR,0
AL,CI,2
AL,HR,3
AL,CU,1
AL,CY,3
AL,CZ,3
AL,DK,3
AL,DJ,1
AL,DM,3
AL,DO,3
AL,EC,3
AL,EG,1
AL,SV,3
AL,GQ,0
AL,ER,0
AL,EE,3
AL,SZ,0
AL,ET,1
AL,FJ,0
AL,FI,3
AL,FR,3
AL,GA,1
AL,GM,3
AL,GE,3
AL,DE,3
AL,GH,0
AL,GR,3
AL,GD,0
AL,GT,0
AL,GN,0
AL,GW,1
AL,GY,0
AL,HT,3
AL,HN,0
AL,HK,3
AL,HU,3
AL,IS,3
AL,IN,2
AL,ID,3
AL,IR,1
AL,IQ,0
AL,IE,0
AL,IL,3
AL,IT,3
AL,JM,1
AL,JP,0
AL,JO,0
AL,KZ,0
AL,KE,1
AL,KI,0
AL,XK,3
AL,KW,0
AL,KG,1
AL,LA,1
AL,LV,3
AL,LB,0
AL,LS,1
AL,LR,0
AL,LY,0
AL,LI,3
AL,LT,3
AL,LU,3
AL,MO,3
AL,MG,1
AL,MW,1
AL,MY,3
AL,MV,1
AL,ML,0
AL,MT,3
AL,MH,0
AL,MR,1
AL,MU,1
AL,MX,0
AL,FM,3
AL,MD,3
AL,MC,3
AL,MN,0
AL,ME,3
AL,MA,0
AL,MZ,1
AL,MM,1
AL,NA,0
AL,NR,0
AL,NP,1
AL,NL,3
AL,NZ,0
AL,NI,0
AL,NE,0
AL,NG,0
AL,KP,0
AL,MK,3
AL,NO,3
AL,OM,1
AL,PK,0
AL,PW,1
AL,PS,3
AL,PA,0
AL,PG,0
AL,PY,0
AL,PE,0
AL,PH,0
AL,PL,3
AL,PT,3
AL,QA,1
AL,RO,3
AL,RU,0
AL,RW,1
AL,KN,0
AL,LC,0
AL,WS,1
AL,SM,3
AL,ST,0
AL,SA,0
AL,SN,0
AL,RS,3
AL,SC,1
AL,SL,0
AL,SG,3
AL,SK,3
AL,SI,3
AL,SB,0
AL,SO,1
AL,ZA,0
AL,KR,3
AL,SS,0
AL,ES,3
AL,LK,2
AL,VC,3
AL,SD,0
AL,SR,0
AL,SE,3
AL,CH,3
AL,SY,0
AL,TW,0
AL,TJ,0
AL,TZ,1
AL,TH,0
AL,TL,1
AL,TG,1
AL,TO,0
AL,TT,3
AL,TN,0
AL,TR,3
AL,TM,0
AL,TV,1
AL,UG,1
AL,UA,3
AL,AE,0
AL,GB,0
AL,US,0
AL,UY,0
AL,UZ,1
AL,VU,0
AL,VA,3
AL,VE,0
AL,VN,0
AL,YE,0
AL,ZM,1
AL,ZW,1
DZ,AF,0
DZ,AL,0
DZ,DZ,-1
DZ,AD,0
DZ,AO,1
DZ,AG,0
DZ,AR,0
DZ,AM,0
DZ,AU,0
DZ,AT,0
DZ,AZ,1
DZ,BS,0
DZ,BH,0
DZ,BD,0
DZ,BB,0
DZ,BY,0
DZ,BE,0
DZ,BZ,0
DZ,BJ,3
DZ,BT,0
DZ,BO,1
DZ,BA,0
DZ,BW,0
DZ,BR,0
DZ,BN,0
DZ,BG,0
DZ,BF,0
DZ,BI,0
DZ,KH,1
DZ,CM,0
DZ,CA,0
DZ,CV,1
DZ,CF,0
DZ,TD,0
DZ,CL,0
DZ,CN,0
DZ,CO,0
DZ,KM,1
DZ,CG,0
DZ,CD,0
DZ,CR,0
DZ,CI,2
DZ,HR,0
DZ,CU,1
DZ,CY,0
DZ,CZ,0
DZ,DK,0
DZ,DJ,1
DZ,DM,3
DZ,DO,0
DZ,EC,3
DZ,EG,0
DZ,SV,0
DZ,GQ,0
DZ,ER,0
DZ,EE,0
DZ,SZ,0
DZ,ET,1
DZ,FJ,0
DZ,FI,0
DZ,FR,0
DZ,GA,1
DZ,GM,0
DZ,GE,0
DZ,DE,0
DZ,GH,1
DZ,GR,0
DZ,GD,0
DZ,GT,0
DZ,GN,3
DZ,GW,1
DZ,GY,0
DZ,HT,3
DZ,HN,0
DZ,HK,3
DZ,HU,0
DZ,IS,0
DZ,IN,0
DZ,ID,3
DZ,IR,1
DZ,IQ,0
DZ,IE,0
DZ,IL,0
DZ,IT,0
DZ,JM,0
DZ,JP,0
DZ,JO,1
DZ,KZ,0
DZ,KE,1
DZ,KI,0
DZ,XK,0
DZ,KW,0
DZ,KG,0
DZ,LA,0
DZ,LV,0
DZ,LB,1
DZ,LS,1
DZ,LR,0
DZ,LY,0
DZ,LI,0
DZ,LT,0
DZ,LU,0
DZ,MO,1
DZ,MG,1
DZ,MW,0
DZ,MY,3
DZ,MV,1
DZ,ML,3
DZ,MT,0
DZ,MH,0
DZ,MR,3
DZ,MU,1
DZ,MX,0
DZ,FM,3
DZ,MD,0
DZ,MC,0
DZ,MN,0
DZ,ME,0
DZ,MA,3
DZ,MZ,1
DZ,MM,1
DZ,NA,0
DZ,NR,0
DZ,NP,1
DZ,NL,0
DZ,NZ,0
DZ,NI,1
DZ,NE,0
DZ,NG,0
DZ,KP,0
DZ,MK,0
DZ,NO,0
DZ,OM,0
DZ,PK,0
DZ,PW,1
DZ,PS,3
DZ,PA,0
DZ,PG,0
DZ,PY,0
DZ,PE,0
DZ,PH,0
DZ,PL,0
DZ,PT,0
DZ,QA,1
DZ,RO,0
DZ,RU,0
DZ,RW,1
DZ,KN,0
DZ,LC,0
DZ,WS,1
DZ,SM,0
DZ,ST,0
DZ,SA,0
DZ,SN,1
DZ,RS,0
DZ,SC,1
DZ,SL,0
DZ,SG,0
DZ,SK,0
DZ,SI,0
DZ,SB,0
DZ,SO,1
DZ,ZA,0
DZ,KR,0
DZ,SS,0
DZ,ES,0
DZ,LK,2
DZ,VC,3
DZ,SD,0
DZ,SR,0
DZ,SE,0
DZ,CH,0
DZ,SY,3
DZ,TW,0
DZ,TJ,1
DZ,TZ,1
DZ,TH,0
DZ,TL,1
DZ,TG,1
DZ,TO,0
DZ,TT,0
DZ,TN,3
DZ,TR,1
DZ,TM,0
DZ,TV,1
DZ,UG,1
DZ,UA,0
DZ,AE,0
DZ,GB,0
DZ,US,0
DZ,UY,0
DZ,UZ,1
DZ,VU,0
DZ,VA,0
DZ,VE,0
DZ,VN,0
DZ,YE,1
DZ,ZM,0
DZ,ZW,1
AD,AF,0
AD,AL,3
AD,DZ,0
AD,AD,-1
AD,AO,0
AD,AG,3
AD,AR,3
AD,AM,3
AD,AU,2
AD,AT,3
AD,AZ,1
AD,BS,3
AD,BH,1
AD,BD,1
AD,BB,0
AD,BY,3
AD,BE,3
AD,BZ,3
AD,BJ,0
AD,BT,0
AD,BO,3
AD,BA,3
AD,BW,0
AD,BR,3
AD,BN,0
AD,BG,3
AD,BF,0
AD,BI,0
AD,KH,1
AD,CM,0
AD,CA,2
AD,CV,3
AD,CF,0
AD,TD,0
AD,CL,3
AD,CN,0
AD,CO,3
AD,KM,1
AD,CG,0
AD,CD,0
AD,CR,3
AD,CI,2
AD,HR,3
AD,CU,1
AD,CY,3
AD,CZ,3
AD,DK,3
AD,DJ,1
AD,DM,3
AD,DO,3
AD,EC,3
AD,EG,1
AD,SV,3
AD,GQ,0
AD,ER,0
AD,EE,3
AD,SZ,3
AD,ET,1
AD,FJ,0
AD,FI,3
AD,FR,3
AD,GA,1
AD,GM,3
AD,GE,3
AD,DE,3
AD,GH,0
AD,GR,3
AD,GD,0
AD,GT,3
AD,GN,0
AD,GW,1
AD,GY,0
AD,HT,3
AD,HN,3
AD,HK,3
AD,HU,3
AD,IS,3
AD,IN,2
AD,ID,3
AD,IR,1
AD,IQ,0
AD,IE,3
AD,IL,3
AD,IT,3
AD,JM,1
AD,JP,3
AD,JO,1
AD,KZ,0
AD,KE,1
AD,KI,0
AD,XK,3
AD,KW,1
AD,KG,1
AD,LA,1
AD,LV,3
AD,LB,1
AD,LS,1
AD,LR,0
AD,LY,0
AD,LI,3
AD,LT,3
AD,LU,3
AD,MO,3
AD,MG,1
AD,MW,1
AD,MY,3
AD,MV,1
AD,ML,0
AD,MT,3
AD,MH,1
AD,MR,1
AD,MU,1
AD,MX,3
AD,FM,3
AD,MD,3
AD,MC,3
AD,MN,0
AD,ME,3
AD,MA,3
AD,MZ,1
AD,MM,0
AD,NA,0
AD,NR,0
AD,NP,1
AD,NL,3
AD,NZ,3
AD,NI,3
AD,NE,0
AD,NG,0
AD,KP,0
AD,MK,3
AD,NO,3
AD,OM,1
AD,PK,0
AD,PW,1
AD,PS,3
AD,PA,3
AD,PG,1
AD,PY,3
AD,PE,3
AD,PH,3
AD,PL,3
AD,PT,3
AD,QA,3
AD,RO,3
AD,RU,0
AD,RW,1
AD,KN,0
AD,LC,3
AD,WS,1
AD,SM,3
AD,ST,3
AD,SA,0
AD,SN,1
AD,RS,3
AD,SC,1
AD,SL,0
AD,SG,3
AD,SK,3
AD,SI,3
AD,SB,1
AD,SO,1
AD,ZA,3
AD,KR,3
AD,SS,0
AD,ES,3
AD,LK,2
AD,VC,3
AD,SD,0
AD,SR,0
AD,SE,3
AD,CH,3
AD,SY,0
AD,TW,3
AD,TJ,1
AD,TZ,1
AD,TH,1
AD,TL,1
AD,TG,1
AD,TO,0
AD,TT,0
AD,TN,3
AD,TR,3
AD,TM,0
AD,TV,1
AD,UG,1
AD,UA,3
AD,AE,3
AD,GB,3
AD,US,2
AD,UY,3
AD,UZ,3
AD,VU,3
AD,VA,3
AD,VE,3
AD,VN,1
AD,YE,0
AD,ZM,1
AD,ZW,1
AO,AF,0
AO,AL,0
AO,DZ,0
AO,AD,0
AO,AO,-1
AO,AG,0
AO,AR,0
AO,AM,0
AO,AU,0
AO,AT,0
AO,AZ,0
AO,BS,0
AO,BH,0
AO,BD,1
AO,BB,0
AO,BY,0
AO,BE,0
AO,BZ,0
AO,BJ,3
AO,BT,0
AO,BO,1
AO,BA,0
AO,BW,3
AO,BR,0
AO,BN,0
AO,BG,0
AO,BF,0
AO,BI,0
AO,KH,1
AO,CM,0
AO,CA,0
AO,CV,3
AO,CF,0
AO,TD,0
AO,CL,0
AO,CN,0
AO,CO,0
AO,KM,1
AO,CG,0
AO,CD,0
AO,CR,0
AO,CI,2
AO,HR,0
AO,CU,1
AO,CY,0
AO,CZ,0
AO,DK,0
AO,DJ,1
AO,DM,3
AO,DO,0
AO,EC,3
AO,EG,0
AO,SV,0
AO,GQ,0
AO,ER,0
AO,EE,0
AO,SZ,0
AO,ET,1
AO,FJ,0
AO,FI,0
AO,FR,0
AO,GA,1
AO,GM,0
AO,GE,0
