Passport,AD,AE,AF,AG,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BN,BO,BR,BS,BT,BW,BY,BZ,CA,CD,CF,CG,CH,CI,CL,CM,CN,CO,CR,CU,CV,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ER,ES,ET,FI,FJ,FM,FR,GA,GB,GD,GE,GH,GM,GN,GQ,GR,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MG,MH,MK,ML,MM,MN,MO,MR,MT,MU,MV,MW,MX,MY,MZ,NA,NE,NG,NI,NL,NO,NP,NR,NZ,OM,PA,PE,PG,PH,PK,PL,PS,PT,PW,PY,QA,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SI,SK,SL,SM,SN,SO,SR,SS,ST,SV,SY,SZ,TD,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,US,UY,UZ,VA,VC,VE,VN,VU,WS,XK,YE,ZA,ZM,ZW
AD,-1,30,VR,180,90,180,VR,90,90,VOA,ETA,90,VR,ETA,90,VR,90,ETA,VR,VR,VR,90,90,90,VR,VR,30,VF,VOA,VR,VR,VR,90,VOA,90,VR,VR,90,90,ETA,30,90,90,90,ETA,90,21,VF,VR,90,90,ETA,VR,90,ETA,90,VR,30,90,ETA,180,VR,360,VR,90,ETA,VR,90,90,ETA,VR,90,90,90,90,90,30,VF,90,VOA,VR,ETA,90,90,ETA,ETA,90,ETA,60,ETA,VR,ETA,VR,VR,30,ETA,VR,ETA,ETA,42,90,VOA,VR,ETA,90,90,90,VR,90,90,90,90,ETA,ETA,90,VR,VR,VR,90,ETA,90,ETA,ETA,ETA,180,30,ETA,VR,VR,ETA,90,90,90,ETA,VR,VOA,ETA,180,180,ETA,30,VR,90,VF,90,ETA,90,30,90,90,VR,ETA,ETA,ETA,ETA,VR,90,30,90,90,VR,90,ETA,ETA,ETA,VR,15,90,VR,30,VR,ETA,30,ETA,ETA,VR,90,VR,90,VR,ETA,90,ETA,90,ETA,VOA,90,30,90,30,90,ETA,30,ETA,90,VR,90,ETA,ETA
AE,90,-1,VR,90,90,180,ETA,90,90,ETA,ETA,90,90,ETA,90,VF,90,VF,ETA,ETA,30,ETA,90,90,VR,90,30,VR,VOA,ETA,ETA,ETA,90,ETA,90,VR,30,90,90,90,ETA,90,90,90,ETA,90,21,VF,VR,90,90,90,VR,90,ETA,90,120,30,90,ETA,VOA,90,360,VR,90,ETA,ETA,90,90,ETA,ETA,30,VF,90,90,90,30,VF,VR,ETA,VR,ETA,90,90,VR,90,30,ETA,60,ETA,VR,ETA,90,VR,90,VF,30,ETA,180,60,90,VOA,ETA,ETA,90,90,90,VR,90,90,90,90,ETA,ETA,90,90,VR,ETA,ETA,ETA,90,90,ETA,ETA,180,90,ETA,ETA,ETA,ETA,90,90,90,ETA,VF,VOA,90,180,VR,VR,30,ETA,90,VF,90,ETA,90,VF,90,90,90,ETA,VF,VF,ETA,VF,90,30,90,90,ETA,90,ETA,ETA,ETA,60,15,90,VF,VF,VF,ETA,30,ETA,ETA,VR,90,60,ETA,VR,ETA,ETA,ETA,90,ETA,VR,90,30,90,90,VR,ETA,90,ETA,90,ETA,90,ETA,ETA
AF,VR,VR,-1,VR,VR,VR,VR,VR,VR,VR,VR,VR,VR,ETA,VR,VR,VR,VR,VR,VR,VR,ETA,VR,VR,VR,VR,VR,VR,VR,VR,VR,VR,VR,VOA,VR,VR,VR,VR,VR,VR,ETA,VR,VR,VR,ETA,VR,21,VR,VR,VR,VR,VR,VR,VR,ETA,VR,VR,30,VR,ETA,VR,VR,VR,VR,VR,ETA,VR,VR,VR,ETA,VR,VR,VR,VR,90,VR,VR,VR,VR,VR,VR,VR,VR,VR,VR,VR,VR,VR,VR,ETA,VR,ETA,VR,VR,VR,VR,VR,VR,VR,VR,VR,VR,VR,ETA,VR,VR,VR,VR,VR,VR,VR,VR,ETA,VR,VR,VR,VR,VR,ETA,ETA,VR,VR,ETA,ETA,VR,VR,ETA,VR,VR,ETA,VR,VR,VR,VR,VR,VR,VR,VR,VR,VR,VR,VR,VR,VR,VR,ETA,VR,ETA,VR,VR,VR,ETA,VR,VR,ETA,VR,VR,VR,VR,VR,VR,VR,ETA,ETA,ETA,VR,VR,VR,VR,VR,VR,ETA,VR,VR,ETA,VR,VR,VR,VR,VR,ETA,VR,VR,VR,ETA,VR,VR,VR,VR,30,VR,VR,VR,ETA,VR,VR,VR,VR,VR
AG,90,VR,VR,-1,90,ETA,VR,VR,90,VR,VR,90,VF,ETA,90,VR,90,VR,VR,VR,VR,ETA,90,240,VR,90,30,VF,VR,VR,VR,VR,90,VOA,90,VR,VR,90,90,30,ETA,90,90,90,ETA,90,VF,VF,VR,90,90,ETA,VR,90,ETA,90,120,30,90,ETA,180,VF,360,VR,90,ETA,VR,90,90,ETA,180,90,90,90,90,90,30,VF,VR,VOA,VR,ETA,90,90,VF,ETA,VR,ETA,VR,ETA,120,ETA,VF,VR,90,VR,VR,ETA,ETA,VF,90,VOA,VR,90,90,90,90,VR,VR,90,90,90,ETA,VR,90,VR,VR,VR,ETA,ETA,90,90,ETA,90,VR,30,ETA,VR,VR,ETA,90,90,90,ETA,VR,VR,VR,180,180,VR,30,VR,90,VF,90,ETA,VR,90,90,90,90,ETA,VR,ETA,ETA,VR,90,30,90,90,ETA,90,ETA,ETA,90,VR,VR,90,VR,30,VR,ETA,VR,VR,ETA,VR,90,VR,ETA,VF,ETA,VR,90,90,90,VR,VR,30,90,VF,90,VR,30,ETA,90,VR,30,90,90
AL,90,VR,VR,180,-1,180,VR,VR,90,VR,ETA,90,28,ETA,90,VR,90,VR,VR,VR,VR,ETA,90,VR,VR,VR,30,VR,VR,VR,VR,VR,90,VOA,90,VR,VR,90,VR,ETA,ETA,90,90,90,ETA,90,21,VF,VR,90,90,ETA,VR,90,ETA,90,VR,30,90,ETA,VR,VR,360,VR,90,ETA,VR,90,VR,ETA,VR,14,VR,90,90,90,30,VR,90,VOA,VR,ETA,90,90,ETA,VR,VR,ETA,ETA,ETA,VR,ETA,VR,VR,30,VR,VR,ETA,VR,VR,90,VOA,VR,ETA,90,90,90,VR,VR,90,90,90,ETA,VR,90,VR,ETA,VR,90,ETA,90,ETA,ETA,ETA,VR,90,ETA,VR,VR,ETA,VR,90,90,ETA,VR,VR,ETA,VR,VR,VR,VR,VR,90,VF,90,ETA,VR,ETA,90,90,VR,ETA,VR,VR,ETA,VR,90,30,90,90,VR,90,ETA,ETA,ETA,VR,VR,90,VR,VR,VR,ETA,VR,VR,ETA,VR,VR,VR,90,30,ETA,VR,ETA,90,ETA,VR,VR,ETA,90,30,VR,VR,VR,ETA,90,VR,VR,ETA,ETA
AM,VR,VR,VR,180,90,-1,VR,90,VR,VR,VR,VR,28,ETA,VR,VR,VR,VR,VR,VR,VR,ETA,90,90,VR,VR,VF,VR,VR,VR,VR,VR,VR,VOA,VR,VR,90,VR,VR,ETA,ETA,VR,VR,VR,ETA,VR,21,VR,VR,90,VR,VR,VR,VR,ETA,VR,VR,30,VR,ETA,VR,VR,360,VR,90,ETA,VR,VR,VR,ETA,VR,30,VR,VR,90,VR,30,VR,VR,VOA,VR,90,VR,VR,ETA,ETA,VR,VR,VF,ETA,VR,ETA,VR,VR,VR,VR,90,ETA,ETA,VR,VR,VOA,VR,ETA,VR,VR,VR,VR,VR,VR,90,VR,ETA,VR,VR,VR,VR,VR,90,ETA,VR,ETA,ETA,ETA,VR,30,ETA,90,VR,ETA,VR,VR,VR,ETA,VR,VR,VR,180,VR,VR,VR,VR,VR,VF,VR,ETA,VR,ETA,VR,90,90,ETA,VR,VR,ETA,VR,VR,VR,VR,VR,ETA,VR,ETA,ETA,ETA,VR,VR,VR,VR,VR,VR,ETA,VR,90,ETA,VR,VR,VR,ETA,VR,ETA,VR,ETA,VF,ETA,VR,90,VF,VR,30,VR,ETA,VR,ETA,VR,VR,VR,VR,ETA
AO,VR,VR,VR,VR,VR,VR,-1,VR,VR,VR,VR,VR,VR,ETA,VR,VR,VR,VR,VR,90,VR,ETA,VR,VR,VR,90,VR,VR,VR,VR,VR,VR,VR,VOA,VR,VR,VR,VR,VR,ETA,VF,VR,VR,VR,ETA,VR,21,VR,VR,VR,VR,VR,VR,VR,ETA,VR,VR,30,VR,ETA,VR,VR,VR,ETA,90,ETA,VR,VR,VR,ETA,VR,VR,VR,VR,90,VR,30,VR,VR,VOA,VR,ETA,VR,VR,VR,VR,VR,ETA,VR,ETA,VR,ETA,VR,VR,VR,VR,VR,ETA,VR,VR,VR,VOA,VR,ETA,VR,VR,VR,VR,VR,VR,VR,VR,ETA,VR,VR,VR,VR,VR,ETA,ETA,VR,90,ETA,ETA,VR,VR,30,90,VR,ETA,ETA,VR,VR,ETA,VR,VR,VR,180,VR,VR,30,ETA,VR,VR,VR,ETA,VR,ETA,VR,VR,VR,90,VR,VR,ETA,VR,VR,30,VR,VR,VR,VR,ETA,ETA,ETA,VR,VF,VR,VR,VR,VR,ETA,VR,VR,ETA,VR,90,VR,VR,VR,ETA,VR,ETA,VR,90,VR,VR,ETA,VR,30,VR,VR,VR,ETA,VR,VR,30,30,90
AR,90,90,VR,180,90,VF,ETA,-1,90,VR,ETA,90,VF,ETA,90,ETA,90,ETA,VR,VR,VR,90,90,90,VR,90,30,90,VR,VR,VR,VR,90,VOA,90,VR,VR,90,90,ETA,ETA,90,90,90,ETA,90,180,VF,VR,90,90,ETA,VR,90,ETA,90,120,30,90,ETA,180,30,360,VR,VR,ETA,VR,90,90,ETA,90,90,90,90,90,90,30,VF,90,VOA,VR,ETA,90,90,30,ETA,90,ETA,60,ETA,VR,ETA,90,VR,30,VR,30,ETA,ETA,42,90,VOA,VR,ETA,90,90,90,VR,90,90,90,90,ETA,ETA,90,VR,ETA,90,30,ETA,90,90,ETA,ETA,180,90,ETA,VR,VR,ETA,90,90,90,ETA,VR,VOA,ETA,180,180,ETA,30,ETA,90,VF,90,ETA,90,90,90,90,90,ETA,VR,ETA,ETA,VR,90,30,90,90,VR,90,ETA,ETA,90,VR,VR,90,VR,30,VR,ETA,90,ETA,ETA,VR,90,VR,90,90,ETA,VR,ETA,90,ETA,VR,90,30,90,30,90,ETA,30,ETA,90,VR,90,ETA,ETA
AT,VF,90,VR,180,90,180,ETA,90,-1,VOA,ETA,90,90,ETA,VF,ETA,VF,ETA,VR,VR,90,90,90,90,VR,90,30,VF,VOA,VR,VR,VR,VF,VOA,90,VR,VR,90,90,ETA,30,VF,VF,VF,ETA,VF,180,VF,VR,90,VF,ETA,VR,VF,ETA,VF,120,90,VF,ETA,VF,90,360,VR,90,ETA,VR,VF,90,ETA,90,90,90,VF,90,VF,30,VF,90,VOA,VR,ETA,VF,VF,30,ETA,90,ETA,60,ETA,120,ETA,90,VR,90,ETA,30,ETA,ETA,90,VF,VOA,VR,VF,VF,VF,VF,VR,90,VF,90,90,ETA,90,90,VR,ETA,VR,90,ETA,VF,90,ETA,ETA,180,90,ETA,90,VR,ETA,90,VF,VF,ETA,VR,VOA,ETA,180,90,ETA,30,ETA,VF,VF,VF,90,90,90,VF,90,VR,ETA,ETA,90,ETA,VR,VF,90,VF,VF,ETA,VF,90,ETA,ETA,VR,15,90,VR,30,VR,ETA,30,ETA,90,VR,90,90,90,90,90,90,ETA,90,ETA,VOA,90,30,VF,90,90,ETA,90,90,90,VR,90,ETA,ETA
AU,90,30,VR,180,90,180,ETA,90,90,-1,ETA,90,180,ETA,90,ETA,90,ETA,VR,VR,ETA,90,90,90,VR,90,30,VF,VOA,VR,VR,VR,90,VOA,90,VR,VR,90,90,ETA,ETA,90,90,90,ETA,90,180,VF,VR,90,90,ETA,VR,90,ETA,90,120,30,90,ETA,180,90,360,VR,90,ETA,VR,90,90,ETA,90,90,90,90,90,90,30,VF,90,VOA,VR,ETA,90,90,VF,ETA,90,ETA,60,ETA,120,ETA,90,VR,90,ETA,30,ETA,ETA,42,90,VOA,VR,VF,90,90,90,VR,90,90,90,90,ETA,ETA,90,VR,ETA,VR,30,ETA,90,90,ETA,ETA,180,90,ETA,90,VR,ETA,90,90,90,ETA,VR,VF,ETA,180,180,ETA,30,VR,90,VF,90,ETA,ETA,30,90,90,VR,ETA,ETA,ETA,ETA,VR,90,90,90,90,ETA,90,ETA,ETA,ETA,VR,VR,90,VR,30,VR,ETA,30,ETA,ETA,VR,90,ETA,ETA,ETA,ETA,90,ETA,VR,ETA,VOA,90,30,90,30,90,ETA,30,ETA,90,VR,90,ETA,ETA
