Passport,Destination,Requirement
Afghanistan,Albania,e-visa
Afghanistan,Algeria,visa required
Afghanistan,Andorra,visa required
Afghanistan,Angola,visa on arrival
Afghanistan,Antigua and Barbuda,e-visa
Afghanistan,Argentina,visa required
Afghanistan,Armenia,visa required
Afghanistan,Australia,e-visa
Afghanistan,Austria,visa required
Afghanistan,Azerbaijan,covid ban
Afghanistan,Bahamas,visa required
Afghanistan,Bahrain,e-visa
Afghanistan,Bangladesh,visa on arrival
Afghanistan,Barbados,visa required
Afghanistan,Belarus,visa required
Afghanistan,Belgium,visa required
Afghanistan,Belize,visa required
Afghanistan,Benin,e-visa
Afghanistan,Bhutan,visa required
Afghanistan,Bolivia,visa on arrival
Afghanistan,Bosnia and Herzegovina,visa required
Afghanistan,Botswana,e-visa
Afghanistan,Brazil,visa required
Afghanistan,Brunei,visa required
Afghanistan,Bulgaria,visa required
Afghanistan,Burkina Faso,visa required
Afghanistan,Burundi,visa on arrival
Afghanistan,Cambodia,e-visa
Afghanistan,Cameroon,covid ban
Afghanistan,Canada,visa required
Afghanistan,Cape Verde,visa on arrival
Afghanistan,Central African Republic,visa required
Afghanistan,Chad,visa required
Afghanistan,Chile,visa required
Afghanistan,China,visa required
Afghanistan,Colombia,e-visa
Afghanistan,Comoros,visa on arrival
Afghanistan,Congo,visa required
Afghanistan,DR Congo,e-visa
Afghanistan,Costa Rica,visa required
Afghanistan,Ivory Coast,e-visa
Afghanistan,Croatia,visa required
Afghanistan,Cuba,visa required
Afghanistan,Cyprus,visa required
Afghanistan,Czech Republic,visa required
Afghanistan,Denmark,visa required
Afghanistan,Djibouti,e-visa
Afghanistan,Dominica,21
Afghanistan,Dominican Republic,visa required
Afghanistan,Ecuador,visa required
Afghanistan,Egypt,visa required
Afghanistan,El Salvador,visa required
Afghanistan,Equatorial Guinea,visa required
Afghanistan,Eritrea,visa required
Afghanistan,Estonia,visa required
Afghanistan,Swaziland,visa required
Afghanistan,Ethiopia,e-visa
Afghanistan,Fiji,visa required
Afghanistan,Finland,visa required
Afghanistan,France,visa required
Afghanistan,Gabon,e-visa
Afghanistan,Gambia,visa required
Afghanistan,Georgia,visa required
Afghanistan,Germany,visa required
Afghanistan,Ghana,visa required
Afghanistan,Greece,visa required
Afghanistan,Grenada,visa required
Afghanistan,Guatemala,visa required
Afghanistan,Guinea,e-visa
Afghanistan,Guinea-Bissau,visa on arrival
Afghanistan,Guyana,visa on arrival
Afghanistan,Haiti,90
Afghanistan,Honduras,visa required
Afghanistan,Hong Kong,visa required
Afghanistan,Hungary,visa required
Afghanistan,Iceland,visa required
Afghanistan,India,e-visa
Afghanistan,Indonesia,covid ban
Afghanistan,Iran,visa required
Afghanistan,Iraq,visa required
Afghanistan,Ireland,visa required
Afghanistan,Israel,visa required
Afghanistan,Italy,visa required
Afghanistan,Jamaica,visa required
Afghanistan,Japan,covid ban
Afghanistan,Jordan,visa required
Afghanistan,Kazakhstan,visa required
Afghanistan,Kenya,e-visa
Afghanistan,Kiribati,visa required
Afghanistan,Kosovo,visa required
Afghanistan,Kuwait,visa required
Afghanistan,Kyrgyzstan,e-visa
Afghanistan,Laos,visa required
Afghanistan,Latvia,visa required
Afghanistan,Lebanon,visa required
Afghanistan,Lesotho,e-visa
Afghanistan,Liberia,visa required
Afghanistan,Libya,visa required
Afghanistan,Liechtenstein,visa required
Afghanistan,Lithuania,visa required
Afghanistan,Luxembourg,visa required
Afghanistan,Macao,covid ban
Afghanistan,Madagascar,visa on arrival
Afghanistan,Malawi,e-visa
Afghanistan,Malaysia,visa required
Afghanistan,Maldives,visa on arrival
Afghanistan,Mali,visa required
Afghanistan,Malta,visa required
Afghanistan,Marshall Islands,covid ban
Afghanistan,Mauritania,visa on arrival
Afghanistan,Mauritius,visa required
Afghanistan,Mexico,visa required
Afghanistan,Micronesia,covid ban
Afghanistan,Moldova,e-visa
Afghanistan,Monaco,visa required
Afghanistan,Mongolia,visa required
Afghanistan,Montenegro,visa required
Afghanistan,Morocco,visa required
Afghanistan,Mozambique,visa on arrival
Afghanistan,Myanmar,visa required
Afghanistan,Namibia,visa required
Afghanistan,Nauru,visa required
Afghanistan,Nepal,visa required
Afghanistan,Netherlands,visa required
Afghanistan,New Zealand,visa required
Afghanistan,Nicaragua,visa required
Afghanistan,Niger,visa required
Afghanistan,Nigeria,visa on arrival
Afghanistan,North Korea,visa required
Afghanistan,North Macedonia,visa required
Afghanistan,Norway,visa required
Afghanistan,Oman,e-visa
Afghanistan,Pakistan,e-visa
Afghanistan,Palau,visa on arrival
Afghanistan,Palestine,visa required
Afghanistan,Panama,visa required
Afghanistan,Papua New Guinea,visa required
Afghanistan,Paraguay,visa required
Afghanistan,Peru,visa required
Afghanistan,Philippines,visa required
Afghanistan,Poland,visa required
Afghanistan,Portugal,visa required
Afghanistan,Qatar,e-visa
Afghanistan,Romania,visa required
Afghanistan,Russia,visa required
Afghanistan,Rwanda,visa on arrival
Afghanistan,Saint Kitts and Nevis,e-visa
Afghanistan,Saint Lucia,visa required
Afghanistan,Samoa,visa on arrival
Afghanistan,San Marino,visa required
Afghanistan,Sao Tome and Principe,e-visa
Afghanistan,Saudi Arabia,visa required
Afghanistan,Senegal,visa required
Afghanistan,Serbia,visa required
Afghanistan,Seychelles,90
Afghanistan,Sierra Leone,visa on arrival
Afghanistan,Singapore,e-visa
Afghanistan,Slovakia,visa required
Afghanistan,Slovenia,visa required
Afghanistan,Solomon Islands,visa required
Afghanistan,Somalia,visa on arrival
Afghanistan,South Africa,visa required
Afghanistan,South Korea,visa required
Afghanistan,South Sudan,e-visa
Afghanistan,Spain,visa required
Afghanistan,Sri Lanka,visa required
Afghanistan,Saint Vincent and the Grenadines,visa required
Afghanistan,Sudan,visa required
Afghanistan,Suriname,e-visa
Afghanistan,Sweden,visa required
Afghanistan,Switzerland,visa required
Afghanistan,Syria,visa required
Afghanistan,Taiwan,covid ban
Afghanistan,Tajikistan,e-visa
Afghanistan,Tanzania,e-visa
Afghanistan,Thailand,visa required
Afghanistan,Timor-Leste,visa on arrival
Afghanistan,Togo,visa on arrival
Afghanistan,Tonga,covid ban
Afghanistan,Trinidad and Tobago,visa required
Afghanistan,Tunisia,visa required
Afghanistan,Turkey,visa required
Afghanistan,Turkmenistan,visa required
Afghanistan,Tuvalu,visa on arrival
Afghanistan,Uganda,e-visa
Afghanistan,Ukraine,visa required
Afghanistan,United Arab Emirates,e-visa
Afghanistan,United Kingdom,visa required
Afghanistan,United States,visa required
Afghanistan,Uruguay,visa required
Afghanistan,Uzbekistan,e-visa
Afghanistan,Vanuatu,covid ban
Afghanistan,Vatican,visa required
Afghanistan,Venezuela,visa required
Afghanistan,Vietnam,visa required
Afghanistan,Yemen,visa required
Afghanistan,Zambia,e-visa
Afghanistan,Zimbabwe,e-visa
Afghanistan,Afghanistan,-1
Albania,Albania,-1
Albania,Algeria,visa required
Albania,Andorra,90
Albania,Angola,visa on arrival
Albania,Antigua and Barbuda,180
Albania,Argentina,visa required
Albania,Armenia,180
Albania,Australia,e-visa
Albania,Austria,90
Albania,Azerbaijan,e-visa
Albania,Bahamas,visa required
Albania,Bahrain,e-visa
Albania,Bangladesh,visa on arrival
Albania,Barbados,28
Albania,Belarus,30
Albania,Belgium,90
Albania,Belize,visa required
Albania,Benin,e-visa
Albania,Bhutan,visa required
Albania,Bolivia,visa on arrival
Albania,Bosnia and Herzegovina,90
Albania,Botswana,e-visa
Albania,Brazil,90
Albania,Brunei,visa required
Albania,Bulgaria,90
Albania,Burkina Faso,visa required
Albania,Burundi,visa on arrival
Albania,Cambodia,e-visa
Albania,Cameroon,covid ban
Albania,Canada,visa required
Albania,Cape Verde,visa on arrival
Albania,Central African Republic,visa required
Albania,Chad,visa required
Albania,Chile,90
