Passport,Destination,Requirement
AFG,ALB,e-visa
AFG,DZA,visa required
AFG,AND,visa required
AFG,AGO,visa on arrival
AFG,ATG,e-visa
AFG,ARG,visa required
AFG,ARM,visa required
AFG,AUS,e-visa
AFG,AUT,visa required
AFG,AZE,covid ban
AFG,BHS,e-visa
AFG,BHR,e-visa
AFG,BGD,visa on arrival
AFG,BRB,visa required
AFG,BLR,visa required
AFG,BEL,visa required
AFG,BLZ,visa required
AFG,BEN,e-visa
AFG,BTN,e-visa
AFG,BOL,visa on arrival
AFG,BIH,visa required
AFG,BWA,e-visa
AFG,BRA,visa required
AFG,BRN,visa required
AFG,BGR,visa required
AFG,BFA,e-visa
AFG,BDI,visa on arrival
AFG,KHM,visa on arrival
AFG,CMR,visa required
AFG,CAN,visa required
AFG,CPV,visa on arrival
AFG,CAF,visa required
AFG,TCD,visa required
AFG,CHL,visa required
AFG,CHN,visa required
AFG,COL,e-visa
AFG,COM,visa on arrival
AFG,COG,visa required
AFG,COD,e-visa
AFG,CRI,visa required
AFG,CIV,e-visa
AFG,HRV,visa required
AFG,CUB,visa required
AFG,CYP,visa required
AFG,CZE,visa required
AFG,DNK,visa required
AFG,DJI,e-visa
AFG,DMA,21
AFG,DOM,visa required
AFG,ECU,e-visa
AFG,EGY,visa required
AFG,SLV,visa required
AFG,GNQ,visa required
AFG,ERI,visa required
AFG,EST,visa required
AFG,SWZ,visa required
AFG,ETH,e-visa
AFG,FJI,visa required
AFG,FIN,visa required
AFG,FRA,visa required
AFG,GAB,e-visa
AFG,GMB,visa required
AFG,GEO,e-visa
AFG,DEU,visa required
AFG,GHA,visa required
AFG,GRC,visa required
AFG,GRD,visa required
AFG,GTM,visa required
AFG,GIN,e-visa
AFG,GNB,visa on arrival
AFG,GUY,visa on arrival
AFG,HTI,90
AFG,HND,visa required
AFG,HKG,visa required
AFG,HUN,visa required
AFG,ISL,visa required
AFG,IND,e-visa
AFG,IDN,visa required
AFG,IRN,visa required
AFG,IRQ,visa required
AFG,IRL,visa required
AFG,ISR,visa required
AFG,ITA,visa required
AFG,JAM,visa required
AFG,JPN,visa required
AFG,JOR,visa required
AFG,KAZ,visa required
AFG,KEN,e-visa
