Passport,Destination,Code
AF,AL,0
AF,DZ,0
AF,AD,0
AF,AO,0
AF,AG,0
AF,AR,0
AF,AM,0
AF,AU,0
AF,AT,0
AF,AZ,0
AF,BS,0
AF,BH,0
AF,BD,2
AF,BB,0
AF,BY,0
AF,BE,0
AF,BZ,0
AF,BJ,0
AF,BT,0
AF,BO,2
AF,BA,0
AF,BW,0
AF,BR,0
AF,BN,0
AF,BG,0
AF,BF,0
AF,BI,0
AF,KH,2
AF,CM,0
AF,CA,0
AF,CV,2
AF,CF,0
AF,TD,0
AF,CL,0
AF,CN,0
AF,CO,0
AF,KM,2
AF,CG,0
AF,CD,0
AF,CR,0
AF,CI,1
AF,HR,0
AF,CU,0
AF,CY,0
AF,CZ,0
AF,DK,0
AF,DJ,2
AF,DM,3
AF,DO,0
AF,EC,0
AF,EG,0
AF,SV,0
AF,GQ,0
AF,ER,0
AF,EE,0
AF,SZ,0
AF,ET,2
AF,FJ,0
AF,FI,0
AF,FR,0
AF,GA,2
AF,GM,0
AF,GE,0
AF,DE,0
AF,GH,0
AF,GR,0
AF,GD,0
AF,GT,0
AF,GN,2
AF,GW,2
AF,GY,0
AF,HT,3
AF,HN,0
AF,HK,0
AF,HU,0
AF,IS,0
AF,IN,0
AF,ID,0
AF,IR,0
AF,IQ,0
AF,IE,0
AF,IL,0
AF,IT,0
AF,JM,0
AF,JP,0
AF,JO,0
AF,KZ,0
AF,KE,0
AF,KI,0
AF,XK,0
AF,KW,0
AF,KG,0
AF,LA,0
AF,LV,0
AF,LB,0
AF,LS,2
AF,LR,0
AF,LY,0
AF,LI,0
AF,LT,0
AF,LU,0
AF,MO,2
AF,MG,2
AF,MW,2
AF,MY,0
AF,MV,2
AF,ML,0
AF,MT,0
AF,MH,0
AF,MR,2
AF,MU,0
AF,MX,0
AF,FM,3
AF,MD,0
AF,MC,0
AF,MN,0
AF,ME,0
AF,MA,0
AF,MZ,2
AF,MM,0
AF,NA,0
AF,NR,0
AF,NP,0
AF,NL,0
AF,NZ,0
AF,NI,0
AF,NE,0
AF,NG,2
AF,KP,0
AF,MK,0
AF,NO,0
AF,OM,0
AF,PK,0
AF,PW,2
AF,PS,0
AF,PA,0
AF,PG,0
AF,PY,0
AF,PE,0
AF,PH,0
AF,PL,0
AF,PT,0
AF,QA,2
AF,RO,0
AF,RU,0
AF,RW,2
AF,KN,0
AF,LC,0
AF,WS,2
AF,SM,0
AF,ST,0
AF,SA,0
AF,SN,2
AF,RS,0
AF,SC,2
AF,SL,0
AF,SG,0
AF,SK,0
AF,SI,0
AF,SB,0
AF,SO,2
AF,ZA,0
AF,KR,0
AF,SS,0
AF,ES,0
AF,LK,0
AF,VC,3
AF,SD,0
AF,SR,2
AF,SE,0
AF,CH,0
AF,SY,0
AF,TW,0
AF,TJ,0
AF,TZ,0
AF,TH,0
AF,TL,2
AF,TG,2
AF,TO,0
AF,TT,0
AF,TN,0
AF,TR,0
AF,TM,0
AF,TV,2
AF,UG,2
AF,UA,0
AF,AE,0
AF,GB,0
AF,US,0
AF,UY,0
AF,UZ,0
AF,VU,0
AF,VA,0
AF,VE,0
AF,VN,0
AF,YE,0
AF,ZM,0
AF,ZW,0
AL,AF,0
AL,DZ,0
AL,AD,3
AL,AO,0
AL,AG,3
AL,AR,0
AL,AM,3
AL,AU,0
AL,AT,3
AL,AZ,2
AL,BS,0
AL,BH,0
AL,BD,2
AL,BB,3
AL,BY,3
AL,BE,3
AL,BZ,0
AL,BJ,0
AL,BT,0
AL,BO,2
AL,BA,3
AL,BW,0
AL,BR,3
AL,BN,0
AL,BG,3
AL,BF,0
AL,BI,0
AL,KH,2
AL,CM,0
AL,CA,0
AL,CV,2
AL,CF,0
AL,TD,0
AL,CL,3
AL,CN,0
AL,CO,3
AL,KM,2
AL,CG,0
AL,CD,0
AL,CR,0
AL,CI,1
AL,HR,3
AL,CU,2
AL,CY,3
AL,CZ,3
AL,DK,3
AL,DJ,2
AL,DM,3
AL,DO,3
AL,EC,3
AL,EG,2
AL,SV,3
AL,GQ,0
AL,ER,0
AL,EE,3
AL,SZ,0
AL,ET,2
AL,FJ,0
AL,FI,3
AL,FR,3
AL,GA,2
AL,GM,3
AL,GE,3
AL,DE,3
AL,GH,0
AL,GR,3
AL,GD,0
AL,GT,0
AL,GN,2
AL,GW,2
AL,GY,0
AL,HT,3
AL,HN,0
AL,HK,3
AL,HU,3
AL,IS,3
AL,IN,1
AL,ID,3
AL,IR,2
AL,IQ,0
AL,IE,0
AL,IL,3
AL,IT,3
AL,JM,2
AL,JP,0
AL,JO,0
AL,KZ,0
AL,KE,2
AL,KI,0
AL,XK,3
AL,KW,0
AL,KG,2
AL,LA,2
AL,LV,3
AL,LB,0
AL,LS,2
AL,LR,0
AL,LY,0
AL,LI,3
AL,LT,3
AL,LU,3
AL,MO,3
AL,MG,2
AL,MW,2
AL,MY,3
AL,MV,2
AL,ML,0
AL,MT,3
AL,MH,0
AL,MR,2
AL,MU,2
AL,MX,0
AL,FM,3
AL,MD,3
AL,MC,3
AL,MN,0
AL,ME,3
AL,MA,0
