Passport,Destination,Code
Afghanistan,Albania,VR
Afghanistan,Algeria,VR
Afghanistan,Andorra,VR
Afghanistan,Angola,VR
Afghanistan,Antigua and Barbuda,VR
Afghanistan,Argentina,VR
Afghanistan,Armenia,VR
Afghanistan,Australia,VR
Afghanistan,Austria,VR
Afghanistan,Azerbaijan,VR
Afghanistan,Bahamas,VR
Afghanistan,Bahrain,VR
Afghanistan,Bangladesh,ETA
Afghanistan,Barbados,VR
Afghanistan,Belarus,VR
Afghanistan,Belgium,VR
Afghanistan,Belize,VR
Afghanistan,Benin,VR
Afghanistan,Bhutan,VR
Afghanistan,Bolivia,ETA
Afghanistan,Bosnia and Herzegovina,VR
Afghanistan,Botswana,VR
Afghanistan,Brazil,VR
Afghanistan,Brunei,VR
Afghanistan,Bulgaria,VR
Afghanistan,Burkina Faso,VR
Afghanistan,Burundi,VR
Afghanistan,Cambodia,ETA
Afghanistan,Cameroon,VR
Afghanistan,Canada,VR
Afghanistan,Cape Verde,ETA
Afghanistan,Central African Republic,VR
Afghanistan,Chad,VR
Afghanistan,Chile,VR
Afghanistan,China,VR
Afghanistan,Colombia,VR
Afghanistan,Comoros,ETA
Afghanistan,Congo,VR
Afghanistan,DR Congo,VR
Afghanistan,Costa Rica,VR
Afghanistan,Ivory Coast,VOA
Afghanistan,Croatia,VR
Afghanistan,Cuba,VR
Afghanistan,Cyprus,VR
Afghanistan,Czech Republic,VR
Afghanistan,Denmark,VR
Afghanistan,Djibouti,ETA
Afghanistan,Dominica,21
Afghanistan,Dominican Republic,VR
Afghanistan,Ecuador,VR
Afghanistan,Egypt,VR
Afghanistan,El Salvador,VR
Afghanistan,Equatorial Guinea,VR
Afghanistan,Eritrea,VR
Afghanistan,Estonia,VR
Afghanistan,Swaziland,VR
Afghanistan,Ethiopia,ETA
Afghanistan,Fiji,VR
Afghanistan,Finland,VR
Afghanistan,France,VR
Afghanistan,Gabon,ETA
Afghanistan,Gambia,VR
Afghanistan,Georgia,VR
Afghanistan,Germany,VR
Afghanistan,Ghana,VR
Afghanistan,Greece,VR
Afghanistan,Grenada,VR
Afghanistan,Guatemala,VR
Afghanistan,Guinea,ETA
Afghanistan,Guinea-Bissau,ETA
Afghanistan,Guyana,VR
Afghanistan,Haiti,90
Afghanistan,Honduras,VR
Afghanistan,Hong Kong,VR
Afghanistan,Hungary,VR
Afghanistan,Iceland,VR
Afghanistan,India,VR
Afghanistan,Indonesia,VR
Afghanistan,Iran,VR
Afghanistan,Iraq,VR
Afghanistan,Ireland,VR
Afghanistan,Israel,VR
Afghanistan,Italy,VR
Afghanistan,Jamaica,VR
Afghanistan,Japan,VR
Afghanistan,Jordan,VR
Afghanistan,Kazakhstan,VR
Afghanistan,Kenya,VR
Afghanistan,Kiribati,VR
Afghanistan,Kosovo,VR
Afghanistan,Kuwait,VR
Afghanistan,Kyrgyzstan,VR
Afghanistan,Laos,VR
Afghanistan,Latvia,VR
Afghanistan,Lebanon,VR
Afghanistan,Lesotho,ETA
Afghanistan,Liberia,VR
Afghanistan,Libya,VR
Afghanistan,Liechtenstein,VR
Afghanistan,Lithuania,VR
Afghanistan,Luxembourg,VR
Afghanistan,Macao,ETA
Afghanistan,Madagascar,ETA
Afghanistan,Malawi,ETA
Afghanistan,Malaysia,VR
Afghanistan,Maldives,ETA
Afghanistan,Mali,VR
Afghanistan,Malta,VR
Afghanistan,Marshall Islands,VR
Afghanistan,Mauritania,ETA
Afghanistan,Mauritius,VR
Afghanistan,Mexico,VR
Afghanistan,Micronesia,30
Afghanistan,Moldova,VR
Afghanistan,Monaco,VR
Afghanistan,Mongolia,VR
Afghanistan,Montenegro,VR
Afghanistan,Morocco,VR
Afghanistan,Mozambique,ETA
Afghanistan,Myanmar,VR
Afghanistan,Namibia,VR
Afghanistan,Nauru,VR
Afghanistan,Nepal,VR
Afghanistan,Netherlands,VR
Afghanistan,New Zealand,VR
Afghanistan,Nicaragua,VR
Afghanistan,Niger,VR
Afghanistan,Nigeria,ETA
Afghanistan,North Korea,VR
Afghanistan,North Macedonia,VR
Afghanistan,Norway,VR
Afghanistan,Oman,VR
Afghanistan,Pakistan,VR
Afghanistan,Palau,ETA
Afghanistan,Palestine,VR
Afghanistan,Panama,VR
Afghanistan,Papua New Guinea,VR
Afghanistan,Paraguay,VR
Afghanistan,Peru,VR
Afghanistan,Philippines,VR
Afghanistan,Poland,VR
Afghanistan,Portugal,VR
Afghanistan,Qatar,ETA
Afghanistan,Romania,VR
